## UCR Liftover Audit Report
## Generated: 2026-03-17T20:41:18.329866+00:00
## Source: UCSC unusualcons/ultras table (hg38.ultraConserved.bb)
## Source assembly: GRCh38 / hg38
## Target assembly: T2T-CHM13v2.0 / Hs1
## Chain file: hg38ToHs1.over.chain.gz
## UCSC ultras bigBed SHA-256: 6313da26f27000389de7fea2e0676cbb162c9ed9c862938c9553aaf08e4c680e
## Chain SHA-256: 926d4583eda8f90c88434293859b06906573f2469630e898b8b475ac8751327a
##
ucr_id	hg38_chrom	hg38_start	hg38_end	hg38_length	status	t2t_chrom	t2t_start	t2t_end	t2t_length	delta_length	delta_start	chrom_changed	reason
uc.106	chr2	174160694	174160900	206	MAPPED	chr2	174649433	174649639	206	0	488739	NO	
uc.107	chr2	174342879	174343116	237	MAPPED	chr2	174831569	174831806	237	0	488690	NO	
uc.108	chr2	176075628	176076002	374	MAPPED	chr2	176563737	176564111	374	0	488109	NO	
uc.109	chr2	176638609	176638833	224	MAPPED	chr2	177120719	177120943	224	0	482110	NO	
uc.110	chr2	236162737	236162980	243	MAPPED	chr2	236652464	236652707	243	0	489727	NO	
uc.454	chr20	4885793	4886001	208	MAPPED	chr20	4925242	4925450	208	0	39449	NO	
uc.455	chr20	35740456	35740701	245	MAPPED	chr20	37461425	37461670	245	0	1720969	NO	
uc.456	chr20	43459115	43459435	320	MAPPED	chr20	45192384	45192704	320	0	1733269	NO	
uc.457	chr22	19408385	19408596	211	MAPPED	chr22	19785210	19785421	211	0	376825	NO	
uc.458	chr22	35752444	35752648	204	MAPPED	chr22	36212192	36212396	204	0	459748	NO	
uc.111	chr3	9429776	9430072	296	MAPPED	chr3	9421691	9421987	296	0	-8085	NO	
uc.483	chr3	17551236	17551638	402	MAPPED	chr3	17553769	17554171	402	0	2533	NO	
uc.112	chr3	18128071	18128417	346	MAPPED	chr3	18130176	18130522	346	0	2105	NO	
uc.113	chr3	18634911	18635158	247	MAPPED	chr3	18637099	18637346	247	0	2188	NO	
uc.114	chr3	18802957	18803251	294	MAPPED	chr3	18806561	18806855	294	0	3604	NO	
uc.115	chr3	18992665	18992884	219	MAPPED	chr3	18996435	18996654	219	0	3770	NO	
uc.116	chr3	70517272	70517478	206	MAPPED	chr3	70553698	70553904	206	0	36426	NO	
uc.117	chr3	70822688	70822939	251	MAPPED	chr3	70859187	70859438	251	0	36499	NO	
uc.118	chr3	70822940	70823159	219	MAPPED	chr3	70859439	70859658	219	0	36499	NO	
uc.119	chr3	114714619	114714920	301	MAPPED	chr3	117435423	117435724	301	0	2720804	NO	
uc.120	chr3	114716191	114716461	270	MAPPED	chr3	117436995	117437265	270	0	2720804	NO	
uc.121	chr3	114856626	114856919	293	MAPPED	chr3	117577115	117577408	293	0	2720489	NO	
uc.122	chr3	114893043	114893258	215	MAPPED	chr3	117613525	117613740	215	0	2720482	NO	
uc.123	chr3	137264701	137265193	492	MAPPED	chr3	140005328	140005820	492	0	2740627	NO	
uc.124	chr3	137329601	137329888	287	MAPPED	chr3	140070305	140070592	287	0	2740704	NO	
uc.125	chr3	137349474	137349739	265	MAPPED	chr3	140090188	140090453	265	0	2740714	NO	
uc.126	chr3	137406805	137407076	271	MAPPED	chr3	140147519	140147790	271	0	2740714	NO	
uc.127	chr3	147312920	147313192	272	MAPPED	chr3	150068216	150068488	272	0	2755296	NO	
uc.128	chr3	147331850	147332149	299	MAPPED	chr3	150087136	150087435	299	0	2755286	NO	
uc.129	chr3	152446597	152446809	212	MAPPED	chr3	155214498	155214710	212	0	2767901	NO	
uc.130	chr3	158058784	158059008	224	MAPPED	chr3	160833501	160833725	224	0	2774717	NO	
uc.131	chr3	158272250	158272457	207	MAPPED	chr3	161047372	161047579	207	0	2775122	NO	
uc.132	chr3	158308369	158308577	208	MAPPED	chr3	161083494	161083702	208	0	2775125	NO	
uc.133	chr3	158308688	158308965	277	MAPPED	chr3	161083813	161084090	277	0	2775125	NO	
uc.134	chr3	158528114	158528325	211	MAPPED	chr3	161303225	161303436	211	0	2775111	NO	
uc.135	chr3	169116494	169116695	201	MAPPED	chr3	171900459	171900660	201	0	2783965	NO	
uc.136	chr3	169476163	169476510	347	MAPPED	chr3	172260121	172260468	347	0	2783958	NO	
uc.137	chr3	180719068	180719453	385	MAPPED	chr3	183520930	183521315	385	0	2801862	NO	
uc.138	chr3	185931507	185931926	419	MAPPED	chr3	188747297	188747716	419	0	2815790	NO	
uc.139	chr4	4521712	4522050	338	MAPPED	chr4	4491145	4491483	338	0	-30567	NO	
uc.140	chr4	13008245	13008468	223	MAPPED	chr4	12988106	12988329	223	0	-20139	NO	
uc.141	chr4	24527538	24527833	295	MAPPED	chr4	24509252	24509547	295	0	-18286	NO	
uc.142	chr4	41748051	41748310	259	MAPPED	chr4	41721824	41722083	259	0	-26227	NO	
uc.143	chr4	75653939	75654157	218	MAPPED	chr4	78994066	78994284	218	0	3340127	NO	
uc.144	chr4	82425511	82425716	205	MAPPED	chr4	85755121	85755326	205	0	3329610	NO	
uc.145	chr4	104425155	104425403	248	MAPPED	chr4	107736372	107736620	248	0	3311217	NO	
uc.146	chr4	110995319	110995533	214	MAPPED	chr4	114296882	114297096	214	0	3301563	NO	
uc.147	chr4	150315230	150315538	308	MAPPED	chr4	153639060	153639368	308	0	3323830	NO	
uc.148	chr4	150572799	150573039	240	MAPPED	chr4	153896645	153896885	240	0	3323846	NO	
uc.149	chr4	150573040	150573244	204	MAPPED	chr4	153896886	153897090	204	0	3323846	NO	
uc.150	chr5	3512506	3512768	262	MAPPED	chr5	3431202	3431464	262	0	-81304	NO	
uc.151	chr5	32380030	32380244	214	MAPPED	chr5	32493726	32493940	214	0	113696	NO	
uc.152	chr5	51039803	51040004	201	MAPPED	chr5	51858943	51859144	201	0	819140	NO	
uc.153	chr5	72899858	72900098	240	MAPPED	chr5	73380952	73381192	240	0	481094	NO	
uc.154	chr5	72914187	72914390	203	MAPPED	chr5	73395273	73395476	203	0	481086	NO	
uc.155	chr5	77638538	77638745	207	MAPPED	chr5	78121120	78121327	207	0	482582	NO	
uc.156	chr5	77639593	77639806	213	MAPPED	chr5	78122175	78122388	213	0	482582	NO	
uc.157	chr5	77645335	77645542	207	MAPPED	chr5	78127913	78128120	207	0	482578	NO	
uc.158	chr5	77844428	77844652	224	MAPPED	chr5	78326173	78326397	224	0	481745	NO	
uc.159	chr5	77852107	77852579	472	MAPPED	chr5	78333850	78334322	472	0	481743	NO	
uc.160	chr5	77973019	77973341	322	MAPPED	chr5	78454813	78455135	322	0	481794	NO	
uc.161	chr5	78062704	78062982	278	MAPPED	chr5	78544493	78544771	278	0	481789	NO	
uc.162	chr5	81851541	81851759	218	MAPPED	chr5	82336150	82336368	218	0	484609	NO	
uc.163	chr5	87872805	87873181	376	MAPPED	chr5	88353966	88354342	376	0	481161	NO	
uc.164	chr5	87944587	87944790	203	MAPPED	chr5	88425720	88425923	203	0	481133	NO	
uc.165	chr5	88397115	88397339	224	MAPPED	chr5	88878181	88878405	224	0	481066	NO	
uc.166	chr5	88665986	88666296	310	MAPPED	chr5	89147117	89147427	310	0	481131	NO	
uc.167	chr5	88883806	88884007	201	MAPPED	chr5	89364915	89365116	201	0	481109	NO	
uc.168	chr5	91632975	91633195	220	MAPPED	chr5	92116880	92117100	220	0	483905	NO	
uc.169	chr5	93585310	93585514	204	MAPPED	chr5	94069373	94069577	204	0	484063	NO	
uc.170	chr5	93891963	93892273	310	MAPPED	chr5	94375998	94376308	310	0	484035	NO	
uc.171	chr5	94240141	94240349	208	MAPPED	chr5	94724199	94724407	208	0	484058	NO	
uc.172	chr5	94315013	94315231	218	MAPPED	chr5	94799063	94799281	218	0	484050	NO	
uc.173	chr5	134390468	134390744	276	MAPPED	chr5	134914268	134914544	276	0	523800	NO	
uc.174	chr5	139307964	139308224	260	MAPPED	chr5	139834052	139834312	260	0	526088	NO	
uc.175	chr5	158914829	158915079	250	MAPPED	chr5	159443686	159443936	250	0	528857	NO	
uc.176	chr5	167905689	167905935	246	MAPPED	chr5	168440836	168441082	246	0	535147	NO	
uc.177	chr5	170990624	170990881	257	MAPPED	chr5	171530966	171531223	257	0	540342	NO	
uc.178	chr5	170990993	170991242	249	MAPPED	chr5	171531335	171531584	249	0	540342	NO	
uc.179	chr5	171201207	171201426	219	MAPPED	chr5	171741550	171741769	219	0	540343	NO	
uc.180	chr5	171201484	171201709	225	MAPPED	chr5	171741827	171742052	225	0	540343	NO	
uc.181	chr5	171202474	171202752	278	MAPPED	chr5	171742817	171743095	278	0	540343	NO	
uc.182	chr5	171276074	171276313	239	MAPPED	chr5	171816416	171816655	239	0	540342	NO	
uc.183	chr5	171957515	171957751	236	MAPPED	chr5	172497851	172498087	236	0	540336	NO	
uc.184	chr5	173958288	173958518	230	MAPPED	chr5	174498633	174498863	230	0	540345	NO	
uc.185	chr5	178617305	178617716	411	MAPPED	chr5	179169278	179169689	411	0	551973	NO	
uc.186	chr5	179619195	179619500	305	MAPPED	chr5	180173641	180173946	305	0	554446	NO	
uc.187	chr6	10394443	10394655	212	MAPPED	chr6	10262172	10262384	212	0	-132271	NO	
uc.188	chr6	16299152	16299367	215	MAPPED	chr6	16171707	16171922	215	0	-127445	NO	
uc.189	chr6	36599739	36600312	573	MAPPED	chr6	36420382	36420955	573	0	-179357	NO	
uc.190	chr6	41555701	41555901	200	MAPPED	chr6	41384728	41384928	200	0	-170973	NO	
uc.191	chr6	51109080	51109288	208	MAPPED	chr6	50951881	50952089	208	0	-157199	NO	
uc.192	chr6	51284198	51284442	244	MAPPED	chr6	51127538	51127782	244	0	-156660	NO	
uc.193	chr6	85611967	85612286	319	MAPPED	chr6	86828771	86829090	319	0	1216804	NO	
uc.194	chr6	93259345	93259546	201	MAPPED	chr6	94471361	94471562	201	0	1212016	NO	
uc.195	chr6	97215479	97215752	273	MAPPED	chr6	98388908	98389181	273	0	1173429	NO	
uc.196	chr6	97668663	97668884	221	MAPPED	chr6	98842604	98842825	221	0	1173941	NO	
uc.197	chr6	97914922	97915146	224	MAPPED	chr6	99089099	99089323	224	0	1174177	NO	
uc.198	chr6	98272012	98272319	307	MAPPED	chr6	99446373	99446680	307	0	1174361	NO	
uc.199	chr6	98365978	98366234	256	MAPPED	chr6	99540351	99540607	256	0	1174373	NO	
uc.200	chr6	98547656	98547910	254	MAPPED	chr6	99722013	99722267	254	0	1174357	NO	
uc.201	chr6	99604107	99604347	240	MAPPED	chr6	100777557	100777799	242	2	1173450	NO	
uc.202	chr6	100526106	100526336	230	MAPPED	chr6	101699848	101700078	230	0	1173742	NO	
uc.203	chr6	163570671	163570874	203	MAPPED	chr6	164935770	164935973	203	0	1365099	NO	
uc.204	chr7	1226267	1226469	202	MAPPED	chr7	1333959	1334161	202	0	107692	NO	
uc.205	chr7	20790169	20790421	252	MAPPED	chr7	20926221	20926473	252	0	136052	NO	
uc.206	chr7	20964145	20964644	499	MAPPED	chr7	21100224	21100723	499	0	136079	NO	
uc.207	chr7	21771874	21772104	230	MAPPED	chr7	21908126	21908356	230	0	136252	NO	
uc.208	chr7	23522050	23522268	218	MAPPED	chr7	23661380	23661598	218	0	139330	NO	
uc.209	chr7	23522268	23522518	250	MAPPED	chr7	23661598	23661848	250	0	139330	NO	
uc.210	chr7	26657458	26657715	257	MAPPED	chr7	26793179	26793436	257	0	135721	NO	
uc.211	chr7	26689852	26690143	291	MAPPED	chr7	26825579	26825870	291	0	135727	NO	
uc.212	chr7	27102318	27102523	205	MAPPED	chr7	27238217	27238422	205	0	135899	NO	
uc.213	chr7	27143512	27143713	201	MAPPED	chr7	27279488	27279689	201	0	135976	NO	
uc.214	chr7	31362783	31363026	243	MAPPED	chr7	31500457	31500700	243	0	137674	NO	
uc.215	chr7	42152985	42153247	262	MAPPED	chr7	42311313	42311575	262	0	158328	NO	
uc.216	chr7	50318558	50318870	312	MAPPED	chr7	50479768	50480080	312	0	161210	NO	
uc.217	chr7	54568962	54569183	221	MAPPED	chr7	54728896	54729117	221	0	159934	NO	
uc.218	chr7	70337988	70338274	286	MAPPED	chr7	71560864	71561150	286	0	1222876	NO	
uc.219	chr7	70515793	70516003	210	MAPPED	chr7	71739422	71739632	210	0	1223629	NO	
uc.220	chr7	97004603	97004860	257	MAPPED	chr7	98234259	98234516	257	0	1229656	NO	
uc.221	chr7	97011988	97012337	349	MAPPED	chr7	98241644	98241993	349	0	1229656	NO	
uc.222	chr7	114417115	114417316	201	MAPPED	chr7	115731755	115731956	201	0	1314640	NO	
uc.223	chr7	114418129	114418397	268	MAPPED	chr7	115732769	115733037	268	0	1314640	NO	
uc.224	chr7	114422963	114423258	295	MAPPED	chr7	115737603	115737898	295	0	1314640	NO	
uc.225	chr7	114432799	114433000	201	MAPPED	chr7	115747439	115747640	201	0	1314640	NO	
uc.226	chr7	114569262	114569467	205	MAPPED	chr7	115883893	115884098	205	0	1314631	NO	
uc.227	chr7	114655260	114655491	231	MAPPED	chr7	115969952	115970183	231	0	1314692	NO	
uc.228	chr7	115476642	115476907	265	MAPPED	chr7	116791482	116791747	265	0	1314840	NO	
uc.229	chr7	115494590	115494886	296	MAPPED	chr7	116809520	116809816	296	0	1314930	NO	
uc.230	chr7	115679406	115679644	238	MAPPED	chr7	116994367	116994605	238	0	1314961	NO	
uc.231	chr7	115942062	115942286	224	MAPPED	chr7	117257039	117257263	224	0	1314977	NO	
uc.232	chr7	122304551	122304798	247	MAPPED	chr7	123620520	123620767	247	0	1315969	NO	
uc.233	chr7	151131226	151131492	266	MAPPED	chr7	152304306	152304572	266	0	1173080	NO	
uc.234	chr7	157019690	157019962	272	MAPPED	chr7	158207434	158207706	272	0	1187744	NO	
uc.235	chr8	25918404	25918631	227	MAPPED	chr8	26193389	26193616	227	0	274985	NO	
uc.236	chr8	37392950	37393217	267	MAPPED	chr8	37668299	37668566	267	0	275349	NO	
uc.237	chr8	52225341	52225809	468	MAPPED	chr8	52601033	52601501	468	0	375692	NO	
uc.238	chr8	52254556	52254914	358	MAPPED	chr8	52630234	52630592	358	0	375678	NO	
uc.239	chr8	59029813	59030113	300	MAPPED	chr8	59451122	59451422	300	0	421309	NO	
uc.240	chr8	64579981	64580187	206	MAPPED	chr8	65005403	65005609	206	0	425422	NO	
uc.241	chr8	64584572	64584774	202	MAPPED	chr8	65009994	65010196	202	0	425422	NO	
uc.242	chr8	65237061	65237326	265	MAPPED	chr8	65662850	65663115	265	0	425789	NO	
uc.243	chr8	76778725	76778941	216	MAPPED	chr8	77207857	77208073	216	0	429132	NO	
uc.244	chr8	104950120	104950441	321	MAPPED	chr8	106077583	106077904	321	0	1127463	NO	
uc.245	chr8	105321603	105321942	339	MAPPED	chr8	106449029	106449368	339	0	1127426	NO	
uc.246	chr8	118110978	118111262	284	MAPPED	chr8	119239437	119239721	284	0	1128459	NO	
uc.247	chr9	969153	969514	361	MAPPED	chr9	970423	970784	361	0	1270	NO	
uc.248	chr9	974188	974410	222	MAPPED	chr9	975458	975680	222	0	1270	NO	
uc.249	chr9	8095727	8095987	260	MAPPED	chr9	8102227	8102487	260	0	6500	NO	
uc.250	chr9	13939910	13940119	209	MAPPED	chr9	13949369	13949578	209	0	9459	NO	
uc.251	chr9	15874310	15874523	213	MAPPED	chr9	15886319	15886532	213	0	12009	NO	
uc.252	chr9	16710754	16710985	231	MAPPED	chr9	16722594	16722825	231	0	11840	NO	
uc.253	chr9	17332213	17332435	222	MAPPED	chr9	17344784	17345006	222	0	12571	NO	
uc.254	chr9	23496726	23497005	279	MAPPED	chr9	23502735	23503014	279	0	6009	NO	
uc.255	chr9	23691769	23692001	232	MAPPED	chr9	23697765	23697997	232	0	5996	NO	
uc.256	chr9	23692235	23692441	206	MAPPED	chr9	23698231	23698437	206	0	5996	NO	
uc.257	chr9	37215206	37215470	264	MAPPED	chr9	37238878	37239142	264	0	23672	NO	
uc.258	chr9	37324426	37324627	201	MAPPED	chr9	37348139	37348340	201	0	23713	NO	
uc.259	chr9	77012962	77013270	308	MAPPED	chr9	89169479	89169787	308	0	12156517	NO	
uc.260	chr9	78857507	78857738	231	MAPPED	chr9	91016055	91016286	231	0	12158548	NO	
uc.261	chr9	79256658	79256969	311	MAPPED	chr9	91415013	91415324	311	0	12158355	NO	
uc.262	chr9	81112806	81113061	255	MAPPED	chr9	93264975	93265230	255	0	12152169	NO	
uc.263	chr9	83975368	83975575	207	MAPPED	chr9	96125649	96125856	207	0	12150281	NO	
uc.264	chr9	83975576	83975843	267	MAPPED	chr9	96125857	96126124	267	0	12150281	NO	
uc.265	chr9	105356189	105356406	217	MAPPED	chr9	117530799	117531016	217	0	12174610	NO	
uc.266	chr9	106616010	106616253	243	MAPPED	chr9	118792253	118792496	243	0	12176243	NO	
uc.267	chr9	122291610	122291813	203	MAPPED	chr9	134489129	134489332	203	0	12197519	NO	
uc.268	chr9	122844548	122844799	251	MAPPED	chr9	135041901	135042152	251	0	12197353	NO	
uc.269	chr9	123775657	123775874	217	MAPPED	chr9	135973481	135973698	217	0	12197824	NO	
uc.270	chr9	125541789	125542067	278	MAPPED	chr9	137741446	137741724	278	0	12199657	NO	
uc.271	chr9	125542072	125542283	211	MAPPED	chr9	137741729	137741940	211	0	12199657	NO	
uc.272	chr9	125670308	125670521	213	MAPPED	chr9	137870273	137870486	213	0	12199965	NO	
uc.273	chr9	125755318	125755639	321	MAPPED	chr9	137955266	137955587	321	0	12199948	NO	
uc.274	chr9	125759591	125759918	327	MAPPED	chr9	137959539	137959866	327	0	12199948	NO	
uc.275	chr9	125821836	125822091	255	MAPPED	chr9	138027241	138027496	255	0	12205405	NO	
uc.276	chr9	125843532	125843964	432	MAPPED	chr9	138048933	138049365	432	0	12205401	NO	
uc.277	chr9	125845430	125845706	276	MAPPED	chr9	138050831	138051107	276	0	12205401	NO	
uc.278	chr9	125883885	125884122	237	MAPPED	chr9	138089290	138089527	237	0	12205405	NO	
uc.279	chr9	125910279	125910615	336	MAPPED	chr9	138115661	138115997	336	0	12205382	NO	
uc.280	chr9	125915726	125915946	220	MAPPED	chr9	138121108	138121328	220	0	12205382	NO	
uc.281	chr9	132620137	132620375	238	MAPPED	chr9	144831339	144831577	238	0	12211202	NO	
uc.282	chr9	137148037	137148244	207	MAPPED	chr9	149385773	149385980	207	0	12237736	NO	
uc.459	chrX	21516441	21516696	255	MAPPED	chrX	21099772	21100027	255	0	-416669	NO	
uc.460	chrX	24805393	24805668	275	MAPPED	chrX	24389659	24389934	275	0	-415734	NO	
uc.461	chrX	24846679	24847076	397	MAPPED	chrX	24430921	24431318	397	0	-415758	NO	
uc.462	chrX	24876708	24877487	779	MAPPED	chrX	24460945	24461724	779	0	-415763	NO	
uc.463	chrX	24897764	24898039	275	MAPPED	chrX	24482001	24482276	275	0	-415763	NO	
uc.464	chrX	24898040	24898810	770	MAPPED	chrX	24482277	24483047	770	0	-415763	NO	
uc.465	chrX	24899363	24899673	310	MAPPED	chrX	24483600	24483910	310	0	-415763	NO	
uc.466	chrX	24928340	24928689	349	MAPPED	chrX	24512571	24512920	349	0	-415769	NO	
uc.467	chrX	24990236	24990967	731	MAPPED	chrX	24574480	24575211	731	0	-415756	NO	
uc.468	chrX	24999445	24999934	489	MAPPED	chrX	24583683	24584172	489	0	-415762	NO	
uc.469	chrX	24999935	25000157	222	MAPPED	chrX	24584173	24584395	222	0	-415762	NO	
uc.470	chrX	25383098	25383439	341	MAPPED	chrX	24967359	24967700	341	0	-415739	NO	
uc.471	chrX	41349117	41349356	239	MAPPED	chrX	40751203	40751442	239	0	-597914	NO	
uc.472	chrX	41520052	41520254	202	MAPPED	chrX	40924970	40925172	202	0	-595082	NO	
uc.473	chrX	71153373	71153595	222	MAPPED	chrX	69587446	69587668	222	0	-1565927	NO	
uc.474	chrX	71248992	71249202	210	MAPPED	chrX	69683096	69683306	210	0	-1565896	NO	
uc.475	chrX	71546204	71546601	397	MAPPED	chrX	69979455	69979852	397	0	-1566749	NO	
uc.476	chrX	82534149	82534387	238	MAPPED	chrX	80970834	80971072	238	0	-1563315	NO	
uc.477	chrX	103786561	103786770	209	MAPPED	chrX	102233527	102233736	209	0	-1553034	NO	
uc.478	chrX	123465605	123465857	252	MAPPED	chrX	121774315	121774567	252	0	-1691290	NO	
uc.479	chrX	123479899	123480201	302	MAPPED	chrX	121788637	121788939	302	0	-1691262	NO	
uc.480	chrX	124101421	124101623	202	MAPPED	chrX	122411838	122412040	202	0	-1689583	NO	
uc.481	chrX	124101624	124101828	204	MAPPED	chrX	122412041	122412245	204	0	-1689583	NO	
uc.482	chrX	140088328	140088623	295	MAPPED	chrX	138400254	138400549	295	0	-1688074	NO	
##
## === SUMMARY ===
## Total UCRs:           481
## Mapped:               481
## Unmapped:             0
## Chromosome changed:   0
## Size changed:         1
## Mapping rate:         100.0%
